Timestamp, Client ID, Message Received
256, 0, $R254 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
256, 1, $R207 $UPP+1+665+175+0+0+0 $UPP+1+650+175+0+0+0
257, 0, $R255 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
257, 1, $R208 $UPP+1+645+175+0+0+0
258, 0, $R256 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
258, 1, $R209 $UPP+1+640+175+0+0+0 $UPP+1+635+175+0+0+0
259, 0, $R257 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
259, 1, $R210 $UPP+1+630+175+0+0+0 $UPP+1+630+175+0+0+0
260, 0, $R258 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
260, 1, $R211 $UPP+1+630+175+0+0+0 $UPP+1+630+175+0+0+0
261, 0, $R259 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
261, 1, $R212 $UPP+1+625+175+0+0+0
262, 0, $R260 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
262, 1, $R213 $UPP+1+620+175+0+0+0 $UPP+1+605+175+0+0+0
263, 0, $R261 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
263, 1, $R214 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
264, 0, $R262 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
264, 1, $R215 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
265, 0, $R263 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
265, 1, $R216 $UPP+1+590+175+0+0+0
266, 0, $R264 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
266, 1, $R217 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
267, 0, $R265 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
267, 1, $R218 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
268, 0, $R266 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
268, 1, $R219 $UPP+1+590+175+0+0+0 $UPP+1+590+175+0+0+0
269, 0, $R267 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0 $UPP+0+200+175+1+0+0
269, 1, $R220 $UPP+1+590+175+0+0+0
